"rank","discipline","yrs.since.phd","yrs.service","sex","salary"
"Professor","Theoretical",23,23,"Male",108200
"Professor","Theoretical",19,23,"Male",84273
"Professor","Theoretical",17,11,"Female",90450
"Professor","Theoretical",30,23,"Male",91100
"Professor","Theoretical",21,18,"Male",101100
"Professor","Theoretical",28,23,"Male",128800
"Professor","Theoretical",29,7,"Male",204000
"Professor","Theoretical",39,39,"Male",109000
"Professor","Theoretical",20,8,"Male",102000
"Professor","Theoretical",31,12,"Male",132000
"Assistant Professor","Theoretical",4,2,"Female",77500
"Professor","Theoretical",28,7,"Female",116450
"Associate Professor","Theoretical",12,8,"Male",83000
"Professor","Theoretical",22,22,"Male",140300
"Associate Professor","Theoretical",30,23,"Male",74000
"Assistant Professor","Theoretical",9,3,"Male",73800
"Professor","Theoretical",32,30,"Male",92550
"Associate Professor","Theoretical",41,33,"Male",88600
"Professor","Theoretical",45,45,"Male",107550
"Professor","Theoretical",31,26,"Male",121200
"Professor","Theoretical",31,31,"Male",126000
"Professor","Theoretical",37,35,"Male",99000
"Professor","Theoretical",36,30,"Male",134800
"Professor","Theoretical",43,43,"Male",143940
"Professor","Theoretical",14,10,"Male",104350
"Professor","Theoretical",47,44,"Male",89650
"Professor","Theoretical",13,7,"Male",103700
"Professor","Theoretical",42,40,"Male",143250
"Professor","Theoretical",42,18,"Male",194800
"Assistant Professor","Theoretical",4,1,"Male",73000
"Assistant Professor","Theoretical",8,4,"Male",74000
"Assistant Professor","Theoretical",8,3,"Female",78500
"Professor","Theoretical",12,6,"Male",93000
"Professor","Theoretical",52,48,"Male",107200
"Professor","Theoretical",31,27,"Male",163200
"Professor","Theoretical",24,18,"Male",107100
"Professor","Theoretical",46,46,"Male",100600
"Professor","Theoretical",39,38,"Male",136500
"Professor","Theoretical",37,27,"Male",103600
"Professor","Theoretical",51,51,"Male",57800
"Professor","Theoretical",45,43,"Male",155865
"Associate Professor","Theoretical",8,6,"Male",88650
"Associate Professor","Theoretical",49,49,"Male",81800
"Professor","Theoretical",28,27,"Male",115800
"Assistant Professor","Theoretical",2,0,"Male",85000
"Professor","Theoretical",29,27,"Male",150500
"Assistant Professor","Theoretical",8,5,"Male",74000
"Professor","Theoretical",33,7,"Male",174500
"Professor","Theoretical",32,28,"Male",168500
"Professor","Theoretical",39,9,"Male",183800
"Associate Professor","Theoretical",11,1,"Male",104800
"Professor","Theoretical",19,7,"Male",107300
"Professor","Theoretical",40,36,"Male",97150
"Professor","Theoretical",18,18,"Male",126300
"Professor","Theoretical",17,11,"Male",148800
"Professor","Theoretical",49,43,"Male",72300
"Associate Professor","Theoretical",45,39,"Male",70700
"Professor","Theoretical",39,36,"Male",88600
"Professor","Theoretical",27,16,"Male",127100
"Professor","Theoretical",28,13,"Male",170500
"Professor","Theoretical",14,4,"Male",105260
"Professor","Theoretical",46,44,"Male",144050
"Professor","Theoretical",33,31,"Male",111350
"Assistant Professor","Theoretical",7,4,"Male",74500
"Professor","Theoretical",31,28,"Male",122500
"Assistant Professor","Theoretical",5,0,"Male",74000
"Professor","Theoretical",22,15,"Male",166800
"Professor","Theoretical",20,7,"Male",92050
"Professor","Theoretical",14,9,"Male",108100
"Professor","Theoretical",29,19,"Male",94350
"Professor","Theoretical",35,35,"Male",100351
"Professor","Theoretical",22,6,"Male",146800
"Assistant Professor","Applied",6,3,"Male",84716
"Associate Professor","Applied",12,9,"Female",71065
"Professor","Applied",46,45,"Male",67559
"Professor","Applied",16,16,"Male",134550
"Professor","Applied",16,15,"Male",135027
"Professor","Applied",24,23,"Male",104428
"Associate Professor","Applied",9,9,"Male",95642
"Associate Professor","Applied",13,11,"Male",126431
"Professor","Applied",24,15,"Female",161101
"Professor","Applied",30,31,"Male",162221
"Assistant Professor","Applied",8,4,"Male",84500
"Professor","Applied",23,15,"Male",124714
"Professor","Applied",37,37,"Male",151650
"Associate Professor","Applied",10,10,"Male",99247
"Professor","Applied",23,23,"Male",134778
"Professor","Applied",49,60,"Male",192253
"Professor","Applied",20,9,"Male",116518
"Professor","Applied",18,10,"Female",105450
"Professor","Applied",33,19,"Male",145098
"Associate Professor","Applied",19,6,"Female",104542
"Professor","Applied",36,38,"Male",151445
"Professor","Applied",35,23,"Male",98053
"Professor","Applied",13,12,"Male",145000
"Professor","Applied",32,25,"Male",128464
"Professor","Applied",37,15,"Male",137317
"Professor","Applied",13,11,"Male",106231
"Professor","Applied",17,17,"Female",124312
"Professor","Applied",38,38,"Male",114596
"Professor","Applied",31,31,"Male",162150
"Professor","Applied",32,35,"Male",150376
"Professor","Applied",15,10,"Male",107986
"Professor","Applied",41,27,"Male",142023
"Professor","Applied",39,33,"Male",128250
"Assistant Professor","Applied",4,3,"Male",80139
"Professor","Applied",27,28,"Male",144309
"Professor","Applied",56,49,"Male",186960
"Professor","Applied",38,38,"Male",93519
"Professor","Applied",26,27,"Male",142500
"Professor","Applied",22,20,"Male",138000
"Assistant Professor","Applied",8,1,"Male",83600
"Professor","Applied",25,21,"Male",145028
"Professor","Theoretical",49,40,"Male",88709
"Professor","Theoretical",39,35,"Male",107309
"Professor","Theoretical",28,14,"Female",109954
"Assistant Professor","Theoretical",11,4,"Male",78785
"Professor","Theoretical",14,11,"Male",121946
"Professor","Theoretical",23,15,"Female",109646
"Professor","Theoretical",30,30,"Male",138771
"Associate Professor","Theoretical",20,17,"Male",81285
"Professor","Theoretical",43,43,"Male",205500
"Professor","Theoretical",43,40,"Male",101036
"Professor","Theoretical",15,10,"Male",115435
"Associate Professor","Theoretical",10,1,"Male",108413
"Professor","Theoretical",35,30,"Male",131950
"Professor","Theoretical",33,31,"Male",134690
"Associate Professor","Theoretical",13,8,"Male",78182
"Professor","Theoretical",23,20,"Male",110515
"Professor","Theoretical",12,7,"Male",109707
"Professor","Theoretical",30,26,"Male",136660
"Professor","Theoretical",27,19,"Male",103275
"Professor","Theoretical",28,26,"Male",103649
"Assistant Professor","Theoretical",4,1,"Male",74856
"Assistant Professor","Theoretical",6,3,"Male",77081
"Professor","Theoretical",38,38,"Male",150680
"Associate Professor","Theoretical",11,8,"Male",104121
"Assistant Professor","Theoretical",8,3,"Male",75996
"Professor","Theoretical",27,23,"Male",172505
"Associate Professor","Theoretical",8,5,"Male",86895
"Professor","Theoretical",44,44,"Male",105000
"Professor","Theoretical",27,21,"Male",125192
"Professor","Theoretical",15,9,"Male",114330
"Professor","Theoretical",29,27,"Male",139219
"Professor","Theoretical",29,15,"Male",109305
"Professor","Theoretical",38,36,"Male",119450
"Professor","Theoretical",33,18,"Male",186023
"Professor","Theoretical",40,19,"Male",166605
"Professor","Theoretical",30,19,"Male",151292
"Professor","Theoretical",33,30,"Male",103106
"Professor","Theoretical",31,19,"Male",150564
"Professor","Theoretical",42,25,"Male",101738
"Professor","Theoretical",25,15,"Male",95329
"Assistant Professor","Theoretical",8,4,"Male",81035
